世代,価値最大値,世代,価値平均
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,0
8,0,8,0
9,0,9,0
10,0,10,0
11,0,11,0
12,0,12,0
13,0,13,0
14,0,14,0
15,0,15,0
16,0,16,0
17,0,17,0
18,0,18,0
19,0,19,0
20,0,20,0
21,0,21,0
22,0,22,0
23,0,23,0
24,0,24,0
25,0,25,0
26,0,26,0
27,0,27,0
28,0,28,0
29,0,29,0
30,0,30,0
31,0,31,0
32,0,32,0
33,0,33,0
34,0,34,0
35,14149118546,35,1414911
36,14960477673,36,20672137
37,15533706042,37,579715905
38,17116243534,38,12023459994
39,18325936146,39,12327309418
40,19710523642,40,14009337324
41,20401518691,41,14373923769
42,20909689075,42,15453769126
43,21416502878,43,16556121651
44,21716459234,44,16009185542
45,22308265770,45,16203938456
46,22879802625,46,17242812418
47,23281007881,47,18989303249
48,24132348685,48,18626858321
49,24456489690,49,20907459459
50,24567655511,50,20098682741
51,24567655511,51,21267694697
52,24626212288,52,22936774845
53,24626212288,53,22796648069
54,24677832681,54,21898188513
55,24677832681,55,23192042352
56,24677832681,56,22854748694
57,24677832681,57,23147698750
58,24677832681,58,23208438214
59,24677832681,59,23194225646
60,24677832681,60,23108083309
61,24677832681,61,23220105551
62,24677832681,62,23228034115
63,24677832681,63,23057422296
64,24677832681,64,23207273647
65,24677832681,65,23213526279
66,24677832681,66,23138562673
67,24677832681,67,23169412867
68,24677832681,68,23187844215
69,24677832681,69,23151317057
70,24677832681,70,23184272549
71,24677832681,71,23121895956
72,24677832681,72,23167223757
73,24677832681,73,23241566366
74,24677832681,74,23092591272
75,24677832681,75,23193364240
76,24677832681,76,23139432858
77,24677832681,77,23233548104
78,24677832681,78,23186323190
79,24677832681,79,23301644653
80,24677832681,80,23246128929
81,24677832681,81,23195064881
82,24677832681,82,23219955184
83,24677832681,83,23165015014
84,24677832681,84,23214891728
85,24677832681,85,23092538462
86,24677832681,86,23219418586
87,24677832681,87,23180266454
88,24677832681,88,23183953880
89,24677832681,89,23282760720
90,24677832681,90,23206085277
91,24677832681,91,23260915924
92,24677832681,92,23193066923
93,24677832681,93,23235014514
94,24677832681,94,23117172902
95,24677832681,95,23194240851
96,24677832681,96,23214337578
97,24677832681,97,23209579230
98,24677832681,98,23104564218
99,24677832681,99,23171375571
100,24677832681,100,23194649093
101,24677832681,101,23218766623
102,24677832681,102,23209717149
103,24677832681,103,23231421307
104,24677832681,104,23168298632
105,24677832681,105,23209547749
106,24677832681,106,23283445361
107,24677832681,107,23275592913
108,24677832681,108,23101729618
109,24677832681,109,23250218211
110,24677832681,110,23176080658
111,24677832681,111,23303834912
112,24677832681,112,23153662830
113,24677832681,113,23202894708
114,24677832681,114,23191644797
115,24677832681,115,23172031640
116,24677832681,116,23212782833
117,24677832681,117,23210124074
118,24677832681,118,23155910046
119,24677832681,119,23124068485
120,24677832681,120,23224198194
121,24677832681,121,23070982287
122,24677832681,122,23361801711
123,24677832681,123,23180856676
124,24677832681,124,23172456219
125,24677832681,125,23231439670
126,24677832681,126,23238326339
127,24677832681,127,23217935398
128,24677832681,128,23143292693
129,24677832681,129,23234345631
130,24677832681,130,23277200335
131,24677832681,131,23205418340
132,24677832681,132,23227908487
133,24677832681,133,23137080081
134,24677832681,134,23207496796
135,24677832681,135,23108819902
136,24677832681,136,23319400536
137,24677832681,137,23169439628
138,24677832681,138,23211980284
139,24677832681,139,23141245915
140,24677832681,140,23207269871
141,24677832681,141,23224103101
142,24677832681,142,23216259746
143,24677832681,143,23283390994
144,24677832681,144,23194397717
145,24677832681,145,23175300285
146,24677832681,146,23168397221
147,24677832681,147,23215543934
148,24677832681,148,23107598645
149,24677832681,149,23100573364
150,24677832681,150,23111717725
151,24677832681,151,23201257649
152,24677832681,152,23135339202
153,24677832681,153,23143369355
154,24677832681,154,23025947952
155,24677832681,155,23235295348
156,24677832681,156,23223242272
157,24677832681,157,23279409019
158,24677832681,158,23120941281
159,24677832681,159,23173170592
160,24677832681,160,23164058916
161,24677832681,161,23177637319
162,24677832681,162,23227050475
163,24677832681,163,23281352866
164,24677832681,164,23209142338
165,24677832681,165,23206910000
166,24677832681,166,23286757300
167,24677832681,167,23268303787
168,24677832681,168,23103124748
169,24677832681,169,23201169069
170,24677832681,170,23136624842
171,24677832681,171,23204666442
172,24677832681,172,23212404653
173,24677832681,173,23216243783
174,24677832681,174,23175249951
175,24677832681,175,23122036351
176,24677832681,176,23260992142
177,24677832681,177,23181272514
178,24677832681,178,23167058080
179,24677832681,179,23251049147
180,24677832681,180,23188911726
181,24677832681,181,23181941792
182,24677832681,182,23227175320
183,24677832681,183,23153385957
184,24677832681,184,23217193559
185,24677832681,185,23126029696
186,24677832681,186,23259848312
187,24677832681,187,23216657664
188,24677832681,188,23201119674
189,24677832681,189,23170597659
190,24677832681,190,23232780063
191,24677832681,191,23181212743
192,24677832681,192,23134156457
193,24677832681,193,23149848560
194,24677832681,194,23135438737
195,24677832681,195,23174386630
196,24677832681,196,23215050668
197,24677832681,197,23146624555
198,24677832681,198,23206513146
199,24677832681,199,23197452253
200,24677832681,200,23139416232
201,24677832681,201,23183015164
202,24677832681,202,23299826054
203,24677832681,203,23109076522
204,24677832681,204,23118666316
205,24677832681,205,23144874620
206,24677832681,206,23241952579
207,24677832681,207,23165315562
208,24677832681,208,23185869598
209,24677832681,209,23233448378
210,24677832681,210,23175135565
211,24677832681,211,23127948150
212,24677832681,212,23162598241
213,24677832681,213,23151998671
214,24677832681,214,23144479698
215,24677832681,215,23165752546
216,24677832681,216,23149719712
217,24677832681,217,23198105858
218,24677832681,218,23164191898
219,24677832681,219,23239778430
220,24677832681,220,23153801542
221,24677832681,221,23220490418
222,24677832681,222,23168464076
223,24677832681,223,23237764964
224,24677832681,224,23209665883
225,24677832681,225,23283240421
226,24677832681,226,23177834203
227,24677832681,227,23202058949
228,24677832681,228,23137868235
229,24677832681,229,23195669958
230,24677832681,230,23213037148
231,24677832681,231,23121850561
232,24677832681,232,23298222066
233,24677832681,233,23108285038
234,24677832681,234,23244695804
235,24677832681,235,23290358437
236,24677832681,236,23112029368
237,24677832681,237,23212238001
238,24677832681,238,23212316495
239,24677832681,239,23244783844
240,24677832681,240,23229221446
241,24677832681,241,23136654188
242,24677832681,242,23154640592
243,24677832681,243,23168183506
244,24677832681,244,23120080013
245,24677832681,245,23255241733
246,24677832681,246,23143001030
247,24677832681,247,23300679446
248,24677832681,248,23187364125
249,24677832681,249,23188581583
250,24677832681,250,23172934444
251,24677832681,251,23263420869
252,24677832681,252,23153339907
253,24677832681,253,23160016895
254,24677832681,254,23178229030
255,24677832681,255,23218813831
256,24677832681,256,23123736427
257,24677832681,257,23250249626
258,24677832681,258,23172567538
259,24677832681,259,23215997911
260,24677832681,260,23220921915
261,24677832681,261,23140658385
262,24677832681,262,23170226431
263,24677832681,263,23188964932
264,24677832681,264,23281776970
265,24677832681,265,23160200566
266,24677832681,266,23142187279
267,24677832681,267,23253628000
268,24677832681,268,23269179218
269,24677832681,269,23231872479
270,24677832681,270,23178040061
