世代,価値最大値,世代,価値平均
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,0
8,0,8,0
9,0,9,0
10,0,10,0
11,16628024138,11,4988407
12,16628024138,12,16065254670
13,17123698861,13,16083870223
14,17123698861,14,16082544636
15,17123698861,15,16043934077
16,17123698861,16,16043009982
17,17123698861,17,16013878791
18,17123698861,18,16014526496
19,17124808057,19,15977632786
20,17124808057,20,15956723034
21,17225040745,21,15993441235
22,17301018343,22,15977890961
23,17521672742,23,15989389827
24,17521672742,24,15987938713
25,17521672742,25,15957494971
26,17521672742,26,15918150701
27,17521672742,27,15937737599
28,18044856473,28,15967321755
29,18044856473,29,15977196462
30,18044856473,30,15938314233
31,18044856473,31,15921613356
32,18044856473,32,15973413859
33,18044856473,33,15975884321
34,18071318944,34,15917053867
35,18071318944,35,15915362833
36,18071318944,36,15921127860
37,18071318944,37,15945429257
38,18071318944,38,15885550924
39,18071318944,39,15929511825
40,18071318944,40,15891833847
41,18071318944,41,15931288245
42,18071318944,42,15916312578
43,18513029866,43,15888036664
44,18513029866,44,15902238007
45,18513029866,45,15941407907
46,18513029866,46,15872749169
47,18513029866,47,15864702434
48,18513029866,48,15843271446
49,18513029866,49,15845853588
50,18513029866,50,15921363590
51,18513029866,51,15909046877
52,18513029866,52,15813980987
53,18513029866,53,15816227041
54,18513029866,54,15834509280
55,18513029866,55,15884095191
56,18513029866,56,15874382208
57,18513029866,57,15833211730
58,18513029866,58,15766135351
59,18513029866,59,15854492428
60,18513029866,60,15831184532
61,18513029866,61,15832736857
62,18513029866,62,15887815938
63,18513029866,63,15815487477
64,18513029866,64,15852362740
65,18513029866,65,15815529102
66,18513029866,66,15832370492
67,18513029866,67,15844200405
68,18513029866,68,15803377709
69,18513029866,69,15821512413
70,18513029866,70,15818453445
71,18513029866,71,15830057096
72,18513029866,72,15856103057
73,18513029866,73,15885743294
74,18513029866,74,15856316522
75,18513029866,75,15755473925
76,18513029866,76,15726902099
77,18513029866,77,15753256546
78,18513029866,78,15786632615
79,18513029866,79,15770493661
80,18513029866,80,15788324970
81,18513029866,81,15726913306
82,18826015658,82,15794116004
83,18826015658,83,15810613447
84,18826015658,84,15809320837
85,19051715113,85,15787397854
86,19051715113,86,15754340415
87,19051715113,87,15794281153
88,19051715113,88,15839708781
89,19051715113,89,15787464742
90,19051715113,90,15826273306
91,19051715113,91,15757925470
92,19051715113,92,15823631075
93,19051715113,93,15741364533
94,19051715113,94,15791291942
95,19051715113,95,15826795949
96,19051715113,96,15800350523
97,19184801403,97,15798543236
98,19184801403,98,15788040635
99,19184801403,99,15809075331
100,19184801403,100,15806218322
101,19184801403,101,15790479769
102,19184801403,102,15826080682
103,19184801403,103,15808359049
104,19184801403,104,15741145792
105,19184801403,105,15802357032
106,19184801403,106,15741097337
107,19184801403,107,15784603814
108,19184801403,108,15782395180
109,19184801403,109,15879473123
110,19184801403,110,15826235448
111,19184801403,111,15801500474
112,19184801403,112,15843407132
113,19184801403,113,15768230734
114,19184801403,114,15836887414
115,19271993781,115,15851097315
116,19324371408,116,15889668868
117,19324371408,117,15867432702
118,19324371408,118,15925981738
119,19324371408,119,15955674174
120,19324371408,120,15940471308
121,19324371408,121,15929506748
122,19424119011,122,15960841076
123,19424119011,123,15943307347
124,19713913829,124,15985630781
125,19713913829,125,15998340416
126,19713913829,126,16060605980
127,19847242465,127,16040301744
128,19847242465,128,16069678389
129,19847242465,129,16073533181
130,19847242465,130,16129826054
131,19847242465,131,16217244012
132,19847242465,132,16136326062
133,19847242465,133,16162026122
134,19847242465,134,16163805643
135,19847242465,135,16224079959
136,20077044993,136,16276315187
137,20077044993,137,16344845691
138,20077044993,138,16256280097
139,20077044993,139,16356220221
140,20200071690,140,16313893654
141,20526868102,141,16381606541
142,20526868102,142,16316696639
143,20526868102,143,16348203381
144,20526868102,144,16394274659
145,20526868102,145,16402916265
146,20526868102,146,16466573723
147,20526868102,147,16511507661
148,20526868102,148,16546504316
149,20526868102,149,16599735925
150,20526868102,150,16591199470
151,20526868102,151,16675869781
152,20526868102,152,16669398722
153,20526868102,153,16731226696
154,20526868102,154,16764586170
155,20526868102,155,16719802408
156,20526868102,156,16722130476
157,20526868102,157,16807306839
158,20526868102,158,16738296087
159,20526868102,159,16821457120
160,20526868102,160,16839443292
161,20526868102,161,16801014032
162,20526868102,162,16769980727
163,20526868102,163,16791666512
164,20526868102,164,16832703040
165,20526868102,165,16859402925
166,20526868102,166,16882045606
167,20526868102,167,16845163103
168,20526868102,168,16874394366
169,20526868102,169,16885432514
170,20526868102,170,16890221991
171,20526868102,171,16918076461
172,20526868102,172,16939571813
173,20526868102,173,16895421940
174,20526868102,174,16885872586
175,20526868102,175,16938328276
176,20526868102,176,16944179683
177,20526868102,177,16978816357
178,20526868102,178,16986739096
179,20633086436,179,16988541497
180,20633086436,180,17040270397
181,20633086436,181,17058778124
182,20633086436,182,17072479416
183,20633086436,183,17056684924
184,20633086436,184,17064722991
185,20771269386,185,17132238583
186,20807140254,186,17085736271
187,20815028095,187,17174291906
188,20815028095,188,17139090813
189,21386273724,189,17127044230
190,21386273724,190,17069725939
191,21386273724,191,17084374734
192,21386273724,192,17186632255
193,21386273724,193,17203084734
194,21386273724,194,17211278486
195,21386273724,195,17198095656
196,21386273724,196,17228988565
197,21386273724,197,17268467146
198,21386273724,198,17286161477
199,21386273724,199,17287250379
200,21386273724,200,17265169327
201,21386273724,201,17320537703
202,21386273724,202,17318463364
203,21386273724,203,17332511063
204,21386273724,204,17375351757
205,21457372793,205,17372045477
206,21457372793,206,17380961516
207,21483374996,207,17382445794
208,21483374996,208,17354221717
209,21483374996,209,17432885462
210,21605696721,210,17377784289
211,21605696721,211,17416323627
212,21605696721,212,17414467603
213,21605696721,213,17349941698
214,21605696721,214,17456264244
215,21605696721,215,17516924545
216,21605696721,216,17428524375
217,21605696721,217,17443807691
218,21605696721,218,17482911985
219,21605696721,219,17520674971
220,21605696721,220,17491203671
221,21818117995,221,17520894454
222,21818117995,222,17523000837
223,21818117995,223,17563641140
224,21921578562,224,17537442831
225,21921578562,225,17604509060
226,21949435303,226,17517378776
227,22317676841,227,17597026750
228,22317676841,228,17578852966
229,22317676841,229,17632185574
230,22317676841,230,17659019617
231,22317676841,231,17632479078
232,22400610087,232,17658390353
233,22400610087,233,17655143556
234,22400610087,234,17718710660
235,22400610087,235,17709877080
236,22400610087,236,17761364175
237,22400610087,237,17816999905
238,22400610087,238,17754385623
239,22400610087,239,17769789603
240,22400610087,240,17842898827
241,22400610087,241,17802830150
242,22617432221,242,17831700995
243,22617432221,243,17824122207
244,22617432221,244,17937534134
245,22617432221,245,17887256377
246,22617432221,246,17889334697
247,22617432221,247,17953192357
248,22617432221,248,17987687207
249,22617432221,249,17989590338
250,22617432221,250,17981891038
251,22617432221,251,17995363461
252,22617432221,252,17968364984
253,22658831718,253,18076171790
254,22658831718,254,17993958824
255,22658831718,255,18076042829
256,22658831718,256,18153343482
257,22658831718,257,18143079675
258,22658831718,258,18157179543
259,22658831718,259,18144507741
260,22658831718,260,18129650386
