世代,価値最大値,世代,価値平均
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,0
8,0,8,0
9,0,9,0
10,0,10,0
11,16628024138,11,9976814
12,16628024138,12,15491697388
13,17124808057,13,15445625187
14,17189737281,14,15448193055
15,17189737281,15,15493902939
16,17402647095,16,15494666439
17,17402647095,17,15417631871
18,17728481155,18,15452830855
19,17728481155,19,15412218197
20,17728481155,20,15451469295
21,17728481155,21,15330381412
22,17728481155,22,15415137509
23,17728481155,23,15397281234
24,17728481155,24,15408752940
25,18170192077,25,15460125266
26,18170192077,26,15447914790
27,18170192077,27,15451882347
28,18170192077,28,15425622337
29,18170192077,29,15390832320
30,18170192077,30,15372445858
31,18170192077,31,15474389769
32,18170192077,32,15319664361
33,18170192077,33,15435614373
34,18281383202,34,15369559672
35,18281383202,35,15340391659
36,18281383202,36,15465001047
37,18281383202,37,15416218405
38,18281383202,38,15403216927
39,18281383202,39,15402046918
40,18369378988,40,15436179152
41,18369378988,41,15433202524
42,18369378988,42,15452295544
43,18507588239,43,15369889714
44,18507588239,44,15383896020
45,18507588239,45,15437517990
46,18507588239,46,15401354330
47,18507588239,47,15431069269
48,18507588239,48,15379507571
49,18507588239,49,15400836909
50,18660384959,50,15395437962
51,18660384959,51,15416511549
52,18760985550,52,15412253239
53,18760985550,53,15481123014
54,18760985550,54,15521567389
55,18760985550,55,15423196755
56,18760985550,56,15450602041
57,18760985550,57,15470057449
58,18760985550,58,15472080032
59,19362661787,59,15516371790
60,19362661787,60,15564413801
61,19362661787,61,15621419794
62,19362661787,62,15580573789
63,19362661787,63,15657036207
64,19362661787,64,15659168714
65,19362661787,65,15683942180
66,19521631374,66,15636102432
67,19537786994,67,15705426995
68,19537786994,68,15805744752
69,19828972560,69,15751138425
70,19975725249,70,15867168431
71,20143190963,71,15853451400
72,20481762879,72,15815803480
73,20481762879,73,15925871147
74,20481762879,74,15896997153
75,20481762879,75,15930296065
76,20481762879,76,16000801717
77,20481762879,77,16001115964
78,20481762879,78,16020149480
79,20481762879,79,16097997837
80,20481762879,80,16113052544
81,20481762879,81,16121312160
82,20578864151,82,16195701433
83,20578864151,83,16205761874
84,20578864151,84,16273329034
85,20578864151,85,16335843514
86,20754419174,86,16358142802
87,20754419174,87,16432987780
88,20850004417,88,16483051178
89,20850004417,89,16526364416
90,20850004417,90,16600546191
91,20947105689,91,16664097532
92,20947105689,92,16762744299
93,20947105689,93,16788672810
94,20947105689,94,16876644600
95,20947105689,95,16930911327
96,21098355210,96,16945507225
97,21219761984,97,17068753112
98,21219761984,98,17164713890
99,21566050494,99,17146410489
100,21566050494,100,17247437510
101,21566050494,101,17317624844
102,21918350420,102,17458266385
103,21918350420,103,17436477641
104,21918350420,104,17601101166
105,21918350420,105,17709057746
106,22314912610,106,17694531276
107,22314912610,107,17854252019
108,22314912610,108,17892868461
109,22314912610,109,18015660050
110,22314912610,110,18102752770
111,22314912610,111,18050470160
112,22314912610,112,18088777490
113,22314912610,113,18262991880
114,22314912610,114,18325597325
115,22314912610,115,18413422438
116,22314912610,116,18440443877
117,22314912610,117,18517600564
118,22314912610,118,18513904657
119,22314912610,119,18594093642
120,22314912610,120,18610582167
121,22314912610,121,18667946327
122,22314912610,122,18689732680
123,22314912610,123,18790755881
124,22314912610,124,18766941639
125,22322157186,125,18832697423
126,22322157186,126,18848553365
127,22322157186,127,18859564930
128,22531003436,128,18840376476
129,22531003436,129,18962986503
130,22531003436,130,18898768979
131,22531003436,131,18944604677
132,22531003436,132,19011485204
133,22531003436,133,18970706320
134,22531003436,134,19043810571
135,22531003436,135,19109909343
136,22531003436,136,19095833110
137,22531003436,137,19044900085
138,22531734744,138,19092239221
139,22531734744,139,19133483451
140,22531734744,140,19214199009
141,22571131462,141,19177607553
142,22571131462,142,19221301152
143,22571131462,143,19320029555
144,22657940566,144,19275275700
145,22945665378,145,19304754884
146,22945665378,146,19286076372
147,22945665378,147,19282849181
148,22945665378,148,19431898537
149,22945665378,149,19340453122
150,22945665378,150,19451416337
151,22945665378,151,19391331044
152,22945665378,152,19455594411
153,22945665378,153,19454697029
154,22945665378,154,19435272274
155,22945665378,155,19511366998
156,22945665378,156,19528502059
157,22945665378,157,19613631418
158,22945665378,158,19600735034
159,22945665378,159,19611599740
160,22945665378,160,19636729660
161,22950575613,161,19672348956
162,22950575613,162,19578053559
163,22950575613,163,19692888652
164,22950575613,164,19820056285
165,22950575613,165,19746297113
166,22950575613,166,19854601869
167,23519009562,167,19803162412
168,23519009562,168,19928396874
169,23519009562,169,19845370439
170,23519009562,170,19920917767
171,23519009562,171,19896723941
172,23519009562,172,19874161733
173,23519009562,173,19951359352
174,23519009562,174,20015249810
175,23519009562,175,20007077200
176,23519009562,176,20058786913
177,23519009562,177,20108635070
178,23519009562,178,20031279392
179,23519009562,179,20054157613
180,23519009562,180,20014187598
181,23735831696,181,20104767414
182,23735831696,182,20082122373
183,23735831696,183,20179582334
184,23735831696,184,20104713993
185,23735831696,185,20089730437
186,23735831696,186,20227466697
187,23735831696,187,20136471854
188,23735831696,188,20186889329
189,23735831696,189,20294766362
190,23735831696,190,20217999668
191,23735831696,191,20205945587
192,23735831696,192,20319997523
193,23735831696,193,20343385057
194,23735831696,194,20339024580
195,23735831696,195,20372341686
196,23735831696,196,20417111134
197,23735831696,197,20477466136
198,23735831696,198,20443652659
199,23735831696,199,20389526006
200,23735831696,200,20494322873
201,23735831696,201,20449637089
202,23878660668,202,20525700382
203,23878660668,203,20532205906
204,24023250180,204,20554405815
205,24023250180,205,20535660937
206,24023250180,206,20543910651
207,24023250180,207,20606534536
208,24023250180,208,20626648681
209,24023250180,209,20687849712
210,24023250180,210,20624104120
211,24023250180,211,20693541702
212,24040549497,212,20663086892
213,24040549497,213,20711870136
214,24040549497,214,20586595705
215,24295906475,215,20658386588
216,24295906475,216,20743142902
217,24295906475,217,20610918130
218,24295906475,218,20645412380
219,24295906475,219,20731600133
220,24295906475,220,20768036983
221,24295906475,221,20724491913
222,24295906475,222,20831668197
223,24295906475,223,20909930513
224,24295906475,224,20937240181
225,24295906475,225,20810263178
226,24295906475,226,20879948608
227,24295906475,227,20935474882
228,24295906475,228,20900976566
229,24295906475,229,20816097366
230,24295906475,230,20975683888
231,24295906475,231,21009056351
232,24295906475,232,20917749376
233,24295906475,233,20988811444
234,24295906475,234,21012565018
235,24393007747,235,20960648474
236,24393007747,236,20935586588
237,24393007747,237,21001540230
238,24393007747,238,20941873420
239,24393007747,239,20966456986
240,24393007747,240,20970198502
241,24393007747,241,21118010533
242,24393007747,242,21049199682
243,24393007747,243,21114926873
244,24393007747,244,21094950439
245,24393007747,245,21059445115
246,24393007747,246,21171737358
247,24393007747,247,21102805486
248,24393007747,248,21155355760
249,24393007747,249,21130064646
250,24393007747,250,21130453001
251,24393007747,251,21172871247
252,24393007747,252,21133176066
253,24393007747,253,21158781089
254,24393007747,254,21187242375
255,24393007747,255,21157149576
256,24393007747,256,21197269072
257,24393007747,257,21228227322
258,24393007747,258,21330578701
259,24393007747,259,21187178225
260,24393007747,260,21222284801
