世代,価値最大値,世代,価値平均
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,0
8,0,8,0
9,0,9,0
10,0,10,0
11,0,11,0
12,0,12,0
13,0,13,0
14,0,14,0
15,0,15,0
16,0,16,0
17,0,17,0
18,0,18,0
19,0,19,0
20,0,20,0
21,0,21,0
22,0,22,0
23,0,23,0
24,0,24,0
25,0,25,0
26,0,26,0
27,0,27,0
28,0,28,0
29,0,29,0
30,0,30,0
31,0,31,0
32,0,32,0
33,0,33,0
34,0,34,0
35,0,35,0
36,0,36,0
37,0,37,0
38,0,38,0
39,0,39,0
40,0,40,0
41,0,41,0
42,0,42,0
43,0,43,0
44,0,44,0
45,0,45,0
46,0,46,0
47,0,47,0
48,0,48,0
49,0,49,0
50,0,50,0
51,0,51,0
52,0,52,0
53,0,53,0
54,0,54,0
55,0,55,0
56,0,56,0
57,0,57,0
58,0,58,0
59,0,59,0
60,0,60,0
61,0,61,0
62,0,62,0
63,0,63,0
64,0,64,0
65,0,65,0
66,0,66,0
67,0,67,0
68,0,68,0
69,0,69,0
70,0,70,0
71,0,71,0
72,0,72,0
73,0,73,0
74,0,74,0
75,0,75,0
76,0,76,0
77,0,77,0
78,0,78,0
79,0,79,0
80,0,80,0
81,0,81,0
82,12667617424,82,1266761
83,12667617424,83,587261405
84,12814059188,84,12205396533
85,12814059188,85,12181819075
86,12814059188,86,12279772125
87,12814059188,87,12326619769
88,12814059188,88,12332469996
89,12814059188,89,12299335862
90,12814059188,90,12317814344
91,12814059188,91,12368000476
92,12814059188,92,12352818368
93,12814059188,93,12409379711
94,12814059188,94,12326548185
95,12814059188,95,12343079337
96,12814059188,96,12323073870
97,12814059188,97,12361184151
98,12814059188,98,12319098163
99,12814059188,99,12352823243
100,12814059188,100,12335902163
101,12814059188,101,12335337292
102,12814059188,102,12322749372
103,12814059188,103,12309523349
104,12814059188,104,12373443740
105,12814059188,105,12329043519
106,12814059188,106,12317183199
107,12814059188,107,12322045229
108,12814059188,108,12299803507
109,12814059188,109,12324255248
110,12814059188,110,12323606352
111,12814059188,111,12327457972
112,12814059188,112,12298931414
113,12814059188,113,12320680558
114,12814059188,114,12349178246
115,12814059188,115,12361525704
116,12814059188,116,12300567004
117,12814059188,117,12306379006
118,12814059188,118,12296517658
119,12814059188,119,12341083585
120,12814059188,120,12321082002
121,12814059188,121,12331274078
122,12814059188,122,12344347246
123,12814059188,123,12322104896
124,12814059188,124,12319865738
125,12814059188,125,12314199080
126,12814059188,126,12331740837
127,12814059188,127,12319977657
128,12814059188,128,12307900498
129,12814059188,129,12314647672
130,12814059188,130,12377222881
131,12814059188,131,12297351129
132,12814059188,132,12333673303
133,12814059188,133,12354121749
134,12814059188,134,12307465378
135,12814059188,135,12335219278
136,12814059188,136,12315487761
137,12814059188,137,12355336128
138,12814059188,138,12337142917
139,12814059188,139,12342681034
140,12814059188,140,12318801450
141,12814059188,141,12347766978
142,12814059188,142,12323780831
143,12814059188,143,12344262489
144,12814059188,144,12341311825
145,12814059188,145,12371368566
146,12814059188,146,12317836141
147,12814059188,147,12319751545
148,12814059188,148,12336741857
149,12814059188,149,12329929005
150,12814059188,150,12348606047
151,12814059188,151,12327551931
152,12814059188,152,12334048292
153,12814059188,153,12316644434
154,12814059188,154,12338418071
155,12814059188,155,12286613530
156,12814059188,156,12331008335
157,12814059188,157,12352052479
158,12814059188,158,12305600733
159,12814059188,159,12341475755
160,12814059188,160,12315520689
161,12814059188,161,12340850790
162,12814059188,162,12358119080
163,12814059188,163,12347040975
164,12814059188,164,12355711454
165,12814059188,165,12313143032
166,12814059188,166,12333629836
167,12814059188,167,12295277090
168,12814059188,168,12342480808
169,12814059188,169,12328965062
170,12814059188,170,12347690371
171,12814059188,171,12319649638
172,12814059188,172,12308863303
173,12814059188,173,12305715536
174,12814059188,174,12341273156
175,12814059188,175,12362870740
176,12814059188,176,12348511167
177,12814059188,177,12314419804
178,12814059188,178,12317453486
179,12814059188,179,12378242443
180,12814059188,180,12350739941
181,12814059188,181,12346747511
182,12814059188,182,12365504686
183,12814059188,183,12345322095
184,12814059188,184,12299063909
185,12814059188,185,12344798111
186,12814059188,186,12358972889
187,12814059188,187,12308525428
188,12814059188,188,12300097182
189,12814059188,189,12347477610
190,12814059188,190,12351388628
191,12814059188,191,12330760927
192,12814059188,192,12307648159
193,12814059188,193,12338678761
194,12814059188,194,12322142025
195,12814059188,195,12323086849
196,12814059188,196,12320704456
197,12814059188,197,12408610138
198,12814059188,198,12309280175
199,12814059188,199,12336696994
200,12814059188,200,12315812423
201,12814059188,201,12342792165
202,12814059188,202,12372971833
203,12814059188,203,12330329147
204,12814059188,204,12322729497
205,12814059188,205,12313568726
206,12814059188,206,12361160587
207,12814059188,207,12317482126
208,12814059188,208,12318164444
209,12814059188,209,12316744196
210,12814059188,210,12352429881
211,12814059188,211,12333385142
212,12814059188,212,12374552237
213,12814059188,213,12318582505
214,12814059188,214,12359308240
215,12814059188,215,12316819221
216,12814059188,216,12342835456
217,12814059188,217,12314291936
218,12814059188,218,12343202383
219,12814059188,219,12346745528
220,12814059188,220,12309477528
221,12814059188,221,12339701577
222,12814059188,222,12326706361
223,12814059188,223,12354545343
224,12814059188,224,12360087692
225,12814059188,225,12294625843
226,12814059188,226,12313507978
227,12814059188,227,12321583916
228,12814059188,228,12299522216
229,12814059188,229,12345926862
230,12814059188,230,12330579269
231,12814059188,231,12329103428
232,12814059188,232,12309780349
233,12814059188,233,12351260293
234,12814059188,234,12312384090
235,12814059188,235,12340523149
236,12814059188,236,12336686331
237,12814059188,237,12326587095
238,12814059188,238,12320324105
239,12814059188,239,12367780846
240,12814059188,240,12357913518
241,12814059188,241,12311662749
242,12814059188,242,12357722291
243,12814059188,243,12322285271
244,12814059188,244,12335391976
245,12814059188,245,12297775433
246,12814059188,246,12333074565
247,12814059188,247,12343723640
248,12814059188,248,12266642135
249,12814059188,249,12290285956
250,12814059188,250,12310021866
251,12814059188,251,12329675819
252,12814059188,252,12346868938
253,12814059188,253,12330596607
254,12814059188,254,12331927083
255,12814059188,255,12327585274
256,12814059188,256,12317959692
257,12814059188,257,12333184474
258,12814059188,258,12324537202
259,12814059188,259,12354426673
260,12814059188,260,12338934291
261,12814059188,261,12336554470
262,12814059188,262,12300290747
263,12814059188,263,12376045707
264,12814059188,264,12363049663
265,12814059188,265,12374546897
266,12814059188,266,12305843039
267,12814059188,267,12355281790
268,12814059188,268,12366578262
269,12814059188,269,12373966308
270,12814059188,270,12352765413
271,12814059188,271,12294729215
272,12814059188,272,12352491743
273,12814059188,273,12335320621
274,12814059188,274,12361656175
275,12814059188,275,12330837077
276,12814059188,276,12279552443
277,12814059188,277,12336301502
278,12814059188,278,12365068817
279,12814059188,279,12341131891
280,12814059188,280,12321313207
281,12814059188,281,12387964082
282,12814059188,282,12326663339
283,12814059188,283,12367300918
284,12814059188,284,12336783495
285,12814059188,285,12317333148
286,12814059188,286,12353313688
287,12814059188,287,12333825220
288,12814059188,288,12347937530
289,12814059188,289,12371382336
290,12814059188,290,12293833444
